管轄市町村名,避難先名称,避難種別,指定区分,指定場所,災害区分,土砂災害・浸水・津波浸水予測地域,風水害,津波,耐震性,備蓄の有無,備蓄品目,標高（m）,経度：東経(世界測地系10進法),緯度：北緯(世界測地系10進法),発電機の有無,発動発電機（可搬型）,自家発電機,施設面積〈屋内〉（㎡）,施設面積〈屋外〉（㎡）,収容人数(避難所),収容人数(避難場所）,所在地,備考1
有田市,妙法寺,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,8,135.138867,34.085717,,,,,,,,有田市新堂432,
有田市,女ノ浦地区高台,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,12,135.088084,34.071361,,,,,,,,有田市宮崎町1843,
有田市,保田公民館,避難所,指定避難所,,,浸水予測地域　,,,非耐震,○,毛布,,135.147052,34.076096,,,,426.9,,100,,有田市辻堂533-1,
有田市,保田小学校,避難所,,,洪水　,,,,,,,,135.145954,34.078158,,,,,,,,有田市辻堂474番地,
有田市,保田小学校【指定】,避難所を兼ねる避難場所,指定避難場所兼指定避難所,,洪水　崖崩れ・土石流及び地滑り　地震　,浸水予測地域　,☆,,耐震　,○,簡易トイレ、投光器、ＬＰガス、パーティション,4.5,135.145954,34.078158,,,,4527,,932,1452,有田市辻堂474,
有田市,保田小学校運動場,避難場所,指定避難場所,,地震　,浸水予測地域　,,,,○,,4.5,135.145954,34.078158,,,,,6737,300,,有田市辻堂474,
有田市,保田中学校,避難所,,,,,,,,,,,135.147022,34.077679,,,,,,,,有田市辻堂468番地,
有田市,保田中学校【指定】,避難所を兼ねる避難場所,指定避難場所兼指定避難所,,洪水　崖崩れ・土石流及び地滑り　地震　,浸水予測地域　,☆,,耐震　,○,簡易トイレ、投光器、ＬＰガス、パーティション,4.5,135.147022,34.077679,,,,3381,,606,720,有田市辻堂468,
有田市,保田中学校運動場,避難場所,指定避難場所,,地震　,浸水予測地域　,,,,○,,4.5,135.147022,34.077679,,,,,10883,300,,有田市辻堂468,
有田市,保田保育所,避難所,指定避難所,,,浸水予測地域　,,,耐震　,,,4.5,135.145504,34.077892,,,,909,,150,,有田市辻堂476,
有田市,八幡神社,避難場所,指定避難場所,,津波　,土砂災害予測地域　,,☆☆☆,,,,14,135.134923,34.073911,,,,,,,,有田市山地88-3,
有田市,矢櫃公民館,避難所,指定避難所,,,土砂災害予測地域　津波浸水予測地域,,,耐震　,,,41.2,135.090254,34.070141,,,,99.3,,50,,有田市宮崎町1668,
有田市,山地コミュニティセンター,避難所,指定避難所,,,土砂災害予測地域　浸水予測地域　,,,耐震　,,,2.7,135.133066,34.07229,,,,185.2,,120,,有田市山地145-3,
